word,weight,number_of_words
bertengkar,-5,1
bertengkar mulut,-5,2
bertengkaran,-4,1
bertengking,-4,1
bertentangan,-4,1
bertepat guna,4,2
bertepatan,3,1
berteraskan,-4,1
berterima,-3,1
bertetesan,-3,1
bertian,-3,1
bertikai,-5,1
bertikai pangkai,-4,2
bertimbal,-3,1
bertimbang,-3,1
bertimpa-timpa,-3,1
bertindak,-4,1
bertindik,-3,1
bertingkat,1,1
bertingkat,-4,1
bertingkuh,-4,1
bertinju,-4,1
bertitikan,-3,1
bertokok,-3,1
bertolak,-2,1
bertonggakkan,-4,1
bertransaksi,3,1
bertransformasi,-3,1
bertuah,-3,1
bertubrukan,-4,1
bertudung lingkup,-5,2
bertukar akal,1,2
bertukar akal,-4,2
bertumbangan,-3,1
bertumbuk,-4,1
bertumbukan,-4,1
bertumpuk,4,1
bertumpuk,-4,1
bertunangan,3,1
bertunangan,-4,1
bertunas,3,1
bertunas,-2,1
bertundangan,3,1
bertunjangkan,-4,1
bertuntun,3,1
bertuntun,-2,1
berubah akal,-2,2
berubah ingatan,-3,2
berugi,-5,1
berulah,-4,1
berumah tangga,2,2
berumah tangga,-4,2
berumpun,-3,1
berumur,-2,1
beruntun,-3,1
beruntung,4,1
beruntutan,3,1
berupaya,3,1
berurine,-3,1
berus,-4,1
berusaha,3,1
berusaha,-3,1
berusuh,-5,1
berwarna,-3,1
berwibawa,3,1
berwujud,2,1
berziarah,-4,1
berzikir,4,1
berzikir,-3,1
berzina,-4,1
besar,4,1
besar,-2,1
besar akal,4,2
besar hati,3,2
besar lengan,3,2
besar lengan,-2,2
besar perut,-3,2
besar rabu,-3,2
besar-besaran,3,1
besi tua,-4,2
besit,-2,1
besot,-3,1
bestari,4,1
beta,-3,1
betapa,4,1
betas,-3,1
bete,-5,1
beterbangan,2,1
beterbangan,-3,1
beterjunan,-5,1
betina,-2,1
beton,-2,1
better,2,1
better,-1,1
betul,2,1
betul,-4,1
betung,-3,1
beud,-2,1
bhay,-3,1
biadab,3,1
biadab,-5,1
biadap,-5,1
biak,-3,1
biang keladi,3,2
biang keladi,-4,2
bianglala,4,1
biar,1,1
biar,-3,1
biarawati,-3,1
biarin,-3,1
biarkan,1,1
biarkan,-3,1
biarpun,-3,1
bias,-2,1
biasa,2,1
biasa,-4,1
biasin,-3,1
bicu,-3,1
bidah,-3,1
bidai,-4,1
bidas,-5,1
bidasan,3,1
bidik,-2,1
biduanda,5,1
bijak,3,1
bijak,-4,1
bijaksana,1,1
bijaksana,-4,1
biji,-5,1
biji buah,-3,2
biji mata,-3,2
bijih,3,1
bijih,-3,1
bikinan,3,1
biksah,-5,1
bilas,1,1
bilhak,3,1
bilik,-3,1
bimbang,-5,1
bimbing,3,1
bimbing,-3,1
bimbingan,-3,1
binasa,3,1
binasa,-5,1
bincang,2,1
bineka,3,1
binen,3,1
bingit,-5,1
bingkis,4,1
bingkisan,4,1
bini gelap,-5,2
bir,-5,1
birah,-3,1
birokrat,-3,1
birthday,4,1
bisain,-2,1
bisik,-2,1
bisikan,4,1
bisikan,-2,1
bismillah,4,1
bisnis,3,1
bison,-3,1
bisu,1,1
bisu,-3,1
bisul,-4,1
biut,-5,1
blangko,-3,1
blaster,-3,1
blobor,-3,1
block,-4,1
blokir,-3,1
bloon,-3,1
blur,-4,1
bobol,-4,1
bobot,2,1
bobot,-5,1
bobrok,-5,1
bobroq,-4,1
bocor,-4,1
bodo,-5,1
bodoamat,-4,1
bodoh,-5,1
bogem,-5,1
bogem mentah,-5,2
bogum,-3,1
bohong,-5,1
bokek,-5,1
bokep,-5,1
boker,-3,1
bokong,-5,1
boksen,-5,1
boleh,2,1
boleh juga,-3,2
bolehan,4,1
bolong,-3,1
bolos,-3,1
bolsak,-4,1
bom,1,1
bom,-1,1
bombastis,2,1
bombastis,-3,1
bonafide,3,1
bondong,-4,1
bondot,-5,1
bongak,-5,1
bongak,-5,1
bonggol,-4,1
bongkah,-2,1
bongkak,-3,1
bongkar,-3,1
bongkar-bangkir,-5,1
bongkong,-3,1
bongok,-3,1
bongsor,-2,1
bonus,4,1
bonus,-3,1
bonyok,5,1
booking,2,1
boong,-4,1
bopong,1,1
bopong,-3,1
borak,-4,1
boro,-2,1
borok,-5,1
borong,2,1
borong,-1,1
boros,-5,1
bos,3,1
bosen,-4,1
bosman,-4,1
bosun,-4,1
bot,-2,1
boyak,-5,1
brengsek,-5,1
brokat,-4,1
broker,-3,1
bromocorah,-5,1
brutal,-5,1
bruto,-3,1
buah,2,1
buah,-3,1
buah bibir,-2,2
buah dada,-3,2
buah hati,-3,2
buah simalakama,-3,2
buaian,3,1
bual,-4,1
bualan,-4,1
buang,-3,1
buang air,-5,2
buang air besar,-5,3
buang air kecil,-3,3
buang hajat,-5,2
buang nyawa,-5,2
buangan,-4,1
buang-buang air,-5,2
buari,-4,1
buas,-5,1
buat,1,1
buatan,3,1
bubuh,4,1
bubuk,-5,1
bucu,-3,1
budak,4,1
budek,-3,1
budi baik,3,2
budi pekerti yang baik,3,4
budiman,4,1
bufer,-3,1
bugar,4,1
buhuk,-4,1
bujang,4,1
bujukan,-3,1
buka,3,1
buka,-3,1
buka mata,-3,2
bukan,-3,1
bukan main,4,2
bukannya,-3,1
bukat,-4,1
bukti,-3,1
bulan,-1,1
bulan-bulanan,-4,1
bulang,3,1
bulat,-3,1
bulat kata,3,2
buletin,-3,1
bulevar,-4,1
bully,-5,1
bulsak,-4,1
buluh,-3,1
bulus,-5,1
bumbu,5,1
bumbung,3,1
buncah,-5,1
buncit,-3,1
bunda,3,1
bunda,-5,1
bundak,-3,1
bundel,-5,1
bunduk,-3,1
bunga,3,1
bunga,-3,1
bunga hati,-3,2
bungkam,1,1
bungkam,-4,1
bungkusan,4,1
bungsu,-3,1
buntang,-4,1
buntet,-2,1
bunting,-3,1
buntu,-3,1
buntung,-5,1
buntut,1,1
bunuh,-5,1
bunyi,2,1
bunyi,-1,1
burai,-5,1
buram,-3,1
buras,-4,1
buru,1,1
buru,-3,1
buruan,1,1
buru-buru,1,1
buru-buru,-3,1
buruk,-5,1
busana,2,1
busuk,-5,1
busut,-4,1
buta,-3,1
buta hati,-4,2
butek,-3,1
butuh,-5,1
butut,-5,1
buyung,4,1
buyut,-3,1
bye,-3,1
caba,-4,1
cabar,-4,1
cabau,-3,1
cabe,-2,1
cabean,-3,1
cabik,-3,1
cabuh,-3,1
cabul,-5,1
cabut,-5,1
cacat,-5,1
cacatan,-5,1
cacau,-5,1
cacauan,-4,1
caci,-5,1
caci maki,-5,2
cacian,-5,1
cacing,-4,1
cacing es,-4,2
cacing gelang-gelang,-4,2
cacing gila,-4,2
cacing gilig,-4,2
cacing ginjal,-4,2
cacing hati,-2,2
cacing hitadid,-4,2
cacing jantung,-4,2
cacing kalung,-4,2
cacing karawit,-3,2
cacing kentar,-4,2
cacing keremi,-4,2
cacing palolo,-4,2
cacing pipih,-4,2
cacing pita,-4,2
cacing rambut kuda,-4,3
cacing tambang,-2,2
cacing tanah,-4,2
cadang,2,1
cadang,-5,1
cadangan,2,1
cadas,-3,1
cagaran,-3,1
cahari,-3,1
caing,-3,1
cair,-1,1
cakap,2,1
cakap,-4,1
cakap angin,-4,2
cakep,5,1
cakep,-1,1
cakus,-4,1
calar,-3,1
calit,-5,1
campak,-4,1
campakkan,-4,1
camping,-3,1
campur,5,1
campur aduk,-2,2
canda,-3,1
candal,-5,1
candala,-5,1
candang,2,1
candrasa,3,1
candu,3,1
candu,-3,1
canggung,-4,1
cangkul,-4,1
cangkum,-3,1
cantik,2,1
cantik,-4,1
cantrik,3,1
cantrik,-3,1
cantum,4,1
capai,4,1
capai,-5,1
capaian,4,1
capak,-4,1
cape,-4,1
capek,4,1
capek,-4,1
capit,-3,1
caplak,-4,1
caplok,3,1
caplok,-3,1
care,2,1
cari,-3,1
cari ilmu,4,2
cariin,-2,1
carik,-5,1
caruk,-4,1
carut,-5,1
cash,2,1
catak,-4,1
catu,4,1
catut,-3,1
cawis,2,1
cebak,3,1
cebik,-3,1
cebur,-5,1
cecap,-5,1
cecer,-3,1
ceceran,-3,1
cecunguk,-5,1
cedayam,2,1
cedayam,-2,1
cedera,-4,1
cedih,-3,1
cedok,3,1
cegah,2,1
cegah,-2,1
cegak,1,1
cegak,-4,1
cegar,4,1
cegat,-3,1
cek,-4,1
cekah,-4,1
cekak,-3,1
cekang,-3,1
cekat,2,1
cekat,-4,1
cekatan,2,1
cekatan,-3,1
cekau,-2,1
cekel,4,1
ceker,-3,1
cekluk,-4,1
cekok,-3,1
ceku,-5,1
cekuh,-3,1
cekung,-4,1
cela,-4,1
celaan,-5,1
celah,-3,1
celaka,-5,1
celampak,-3,1
celemotan,-4,1
celengan,3,1
celetuk,-5,1
celih,-4,1
celomes,-4,1
celomok,-4,1
celonok,-3,1
celopar,-4,1
celoteh,-4,1
celuk,-3,1
cema,-5,1
cemar,-5,1
cemas,-3,1
cemat,-5,1
cemberut,-4,1
cembung,-3,1
cemburu,-5,1
cemeeh,-4,1
cemeh,-4,1
cemerlang,4,1
cemerlang,-1,1
cemeti dewa,-2,2
cemomot,-4,1
cemong,-4,1
cemooh,-5,1
cemoohan,-4,1
cempala mulut,-5,2
cempek,-4,1
cempelung,-5,1
cempeng,-4,1
cempera,-5,1
cempiang,3,1
cemplung,1,1
cemplung,-4,1
cempung,-4,1
cemuas,-4,1
cena,-3,1
cenangkas,3,1
cencala,-5,1
cendala,-5,1
cendekia,3,1
cendekia,-4,1
cendera,4,1
cendera mata,4,2
cenderung,-2,1
cengang,1,1
cengang,-3,1
cengeng,-4,1
cengger,-3,1
cengkauan,3,1
cengkedi,-4,1
cengkeram,1,1
cengkeram,-5,1
cengkerama,-2,1
cengkeraman,1,1
cengung,-3,1
centang,-5,1
centil,5,1
centil,-3,1
cepat,3,1
cepat,-3,1
cepet,2,1
cepol,-4,1
cerabah,-5,1
cerabih,-4,1
ceracam,-4,1
ceracau,-4,1
cerai,-4,1
cerai-berai,-5,1
cerapan,3,1
cerca,-4,1
cercaan,-4,1
cercah,2,1
cercah,-5,1
cerdik,2,1
cerewet,-5,1
ceri,4,1
ceria,4,1
ceria,-1,1
cerita,2,1
cerita,-4,1
cerita anak,2,2
cerita anak,-4,2
cerita burung,-5,2
cerita khayal,-2,2
cerita rekaan,-4,2
ceritanya,2,1
ceriwis,-4,1
cermin,3,1
cerminan,3,1
cerna,-5,1
ceroboh,-5,1
ceronggah,-4,1
ceruk,-3,1
cerup,-3,1
cetek,-3,1
cetera,-4,1
cetus,-1,1
cetusan,-1,1
challenge,2,1
chat,3,1
check,1,1
cibir,-5,1
cicik,-4,1
cicip,3,1
cikun,-5,1
cilok,-3,1
cimeng,-3,1
cincong,-5,1
cindur mata,4,2
cingangah,-4,1
cinta,3,1
cinta,-1,1
cinta kasih,5,2
cinta kasih,-1,2
cintai,4,1
cintaku,4,1
cintamu,3,1
cintrong,2,1
cintrong,-1,1
ciplak,-3,1
ciptaan,3,1
cirit,-5,1
cita rasa,3,2
citra,2,1
cium,3,1
cium,-3,1
cium telapak kaki,1,3
ciuman,-3,1
ciut,-3,1
ciyeee,1,1
claim,-3,1
classy,-2,1
close,-2,1
closed,-3,1
coba,2,1
coba,-1,1
cobaan,-5,1
cocok,4,1
cocok,-3,1
cocor,-3,1
coffee,2,1
cokol,4,1
cokol,-4,1
colak-caling,-5,1
coleng,-4,1
colok,2,1
colok,-3,1
colong,-5,1
comberan,-4,1
comblang,-5,1
comeback,-2,1
comel,4,1
comel,-1,1
comot,-4,1
compeng,-4,1
compes,-4,1
condong,-5,1
congek,-3,1
congkak,-3,1
congkel,-4,1
congor,-3,1
congrats,3,1
conteng,-3,1
cool,2,1
coplok,-3,1
copot,1,1
copot,-3,1
coreng moreng,-4,2
corengmoreng,-4,1
coret,2,1
coret,-1,1
coretan,2,1
coretan,-1,1
cotok,-3,1
couple,2,1
cover,3,1
crash,-4,1
cry,-3,1
cuai,-4,1
cuak,-4,1
cuat,2,1
cuat,-3,1
cubit,-3,1
cublik,4,1
cuca,-3,1
cucok,-1,1
cucu Adam,3,2
cucuk,-3,1
cucup,-3,1
cucut,-3,1
cuek,1,1
cuek,-5,1
cuekin,-3,1
cuka belanda,-5,2
cuka jawa,-5,2
cukup,-5,1
cukupan,-3,1
cuma,-3,1
cuma-cuma,4,1
cumbu,-3,1
cumbuan,-3,1
cumil,4,1
cunam,-3,1
cupet,-5,1
cupul,-5,1
cura,-3,1
curang,-5,1
curat,-1,1
curcol,-3,1
curhat,2,1
curhat,-3,1
curi,-5,1
curiga,1,1
curiga,-4,1
curna,-5,1
curu,-3,1
cute,5,1
cute,-1,1
cutel,-4,1
cuti,3,1
cuti,-2,1
dabih,-3,1
dadah,-4,1
dadak,3,1
daftar,1,1
daftar,-3,1
dagel,3,1
dagelan,3,1
daging tumbuh,-4,2
dah,-3,1
dahh,-3,1
dahiat,-5,1
dahlah,-3,1
dahsyat,2,1
dahsyat,-5,1
dahulu,2,1
dahulu,-1,1
daif,-3,1
daim,3,1
daing,-4,1
dajal,-5,1
dakaik,3,1
dakap,-3,1
daki,-4,1
dakwa,3,1
dalal,-3,1
dalalah,-5,1
dalam,3,1
dalang,3,1
dalang,-3,1
dalem,-2,1
dalih,-4,1
dalil,-3,1
dam,-3,1
damar,4,1
dambaan,3,1
dampak,-3,1
damping,1,1
damprat,-4,1
dampratan,-5,1
dana,4,1
dandan,4,1
dangkal,1,1
dangkal,-4,1
dangkap,-3,1
dangkar,-4,1
dangkung,-3,1
dansa,3,1
danyang,-4,1
dapat,2,1
dapat,-2,1
dapatkan,2,1
dapet,2,1
dapra,-3,1
darah,4,1
darah,-1,1
darah dingin,-4,2
daras,-5,1
darat,1,1
darat,-3,1
dari,-3,1
darurat,1,1
darurat,-4,1
data,-3,1
datang,-4,1
datang hati,-5,2
datar,3,1
dateng,2,1
datuk,-4,1
daulat,4,1
daya cipta,4,2
daya gabung,4,2
daya guna,4,2
daya muat,-2,2
daya pikir,3,2
daya pikir,-2,2
daya serap,-2,2
daya tahan,5,2
daya tampung,-2,2
daya upaya,3,2
daya upaya,-4,2
dear,2,1
death,-3,1
debar,2,1
debar,-3,1
debat,3,1
debil,-5,1
debu,-3,1
debuk,3,1
dedak,-3,1
dede,1,1
dedemit,-4,1
dedengkot,3,1
dedengkot,-2,1
deduksi,3,1
defekasi,-5,1
defensif,4,1
definisi,3,1
definit,2,1
defisit,-3,1
degap,3,1
degil,-5,1
degub,1,1
degub,-3,1
dekaden,-5,1
dekadensi,-5,1
dekap,-2,1
dekat,1,1
dekat,-4,1
deket,1,1
dekil,-5,1
deklarasi,-3,1
dekorasi,5,1
delay,-3,1
delegasi,-4,1
delete,-3,1
delusi,3,1
demek,-4,1
demen,3,1
demen,-3,1
demo,-3,1
demon,-3,1
demonstrasi,-3,1
dempet,-3,1
denai,-4,1
denda,3,1
dendam,-5,1
dendam berahi,5,2
dendam berahi,-4,2
dendang,2,1
dendeng,-4,1
dengar,2,1
dengar pendapat,3,2
denger,-3,1
dengerin,3,1
dengki,-5,1
dengkik,-4,1
dengkul,-3,1
dengkur,-3,1
dengu,-3,1
dengung,-3,1
dengus,-3,1
dengut,-3,1
denyut,2,1
denyut,-2,1
depak,-3,1
dependen,3,1
deposito,3,1
depresi,-4,1
deraan,-5,1
derai,-3,1
derajat,5,1
deras,2,1
deras,-3,1
derauan,3,1
derek,-5,1
deres,1,1
deriji,-4,1
dering,-3,1
derita,-5,1
deru,-3,1
derum,-4,1
desah,-3,1
desain,4,1
desak,1,1
desak,-4,1
desakan,4,1
desas-desus,-5,1
desau,-3,1
desersi,-3,1
desir,-2,1
deskripsi,-4,1
destar,-4,1
detail,2,1
detailnya,1,1
detak,-3,1
detektif,-3,1
determinasi,3,1
dewan,-3,1
dewana,3,1
dewasa,2,1
dia,-3,1
diajak,1,1
diajarin,-3,1
dialog,1,1
dialog,-3,1
diam,1,1
diam,-3,1
diamond,3,1
diancurin,-3,1
diapain,-3,1
diare,-4,1
dibalas,2,1
dibales,-3,1
dibalik,-3,1
dibantu,2,1
dibayar,3,1
dibeliin,-1,1
diblock,-4,1
dibuang,-3,1
dibully,-5,1
dicoba,2,1
dicuekin,1,1
didih,-4,1
didik,3,1
didik,-3,1
diduain,-3,1
die,-4,1
diem,2,1
diem,-3,1
diet,-3,1
digantung,-3,1
digdaya,4,1
diginiin,-3,1
digituin,-2,1
digresi,-4,1
dihati,3,1
dikangenin,-2,1
dikara,3,1
dikasih,2,1
dikatain,-3,1
diketawain,-4,1
dikira,-3,1
dikirim,2,1
dikit,-4,1
dikonfirmasi,3,1
dikte,3,1
dilarang,-3,1
dilema,-3,1
diliatin,-3,1
dilupain,-4,1
dimakan,-2,1
dimarahin,-5,1
dimiliki,1,1
dimulai,1,1
dina,-5,1
dinamika,3,1
dinasti,-3,1
dingin,4,1
dingin,-2,1
dinistain,-4,1
dipaksa,-4,1
dipamerin,-3,1
dipanggil,-1,1
dipantau,2,1
diplomasi,-5,1
diproses,1,1
direksi,-3,1
direktur,3,1
diri,-1,1
dirimu,-1,1
disakiti,-5,1
disalahin,-3,1
disarankan,1,1
disayang,3,1
disayang,-3,1
disentri,-5,1
diserang,-4,1
disimilaritas,-4,1
disiplin,3,1
diskaun,3,1
diskon,2,1
diskredit,-4,1
diskrepansi,-3,1
disparitas,-4,1
dispensasi,3,1
distingsi,-4,1
distingtif,4,1
distorsi,-4,1
distribusi,3,1
disuruh,-2,1
diterima,2,1
ditidurin,-4,1
ditinggal,-4,1
ditolak,-4,1
ditunggu,2,1
diusir,-4,1
diva,2,1
divergensi,-4,1
doa,4,1
doa,-4,1
doain,2,1
doang,1,1
doang,-1,1
dobel,-3,1
dobrak,3,1
dobrak,-4,1
dodor,3,1
dogma,-3,1
dogmatis,2,1
dogol,-5,1
doh,-4,1
doi,-3,1
dok,4,1
doktrin,3,1
doktrin,-3,1
dol,3,1
domba,-3,1
dominan,3,1
dominan,-2,1
dominasi,3,1
domot,-5,1
dompleng,-3,1
donatur,3,1
dongeng,3,1
dongeng,-1,1
dongkel,-3,1
dongkol,-4,1
dongok,-5,1
donor,3,1
dosa,-4,1
down,-3,1
drama,-4,1
drama duka,-4,2
drama ria,3,2
drastis,4,1
drastis,-4,1
draw,-3,1
drop,-3,1
drum,2,1
dua,1,1
dua,-3,1
dua kali,-3,2
duaja,-3,1
duduk perut,-3,2
duel,-4,1
duet,-2,1
duga,3,1
duga,-1,1
dugal,-5,1
duh,-4,1
duka,4,1
duka,-5,1
dukacarita,-4,1
dukacita,-3,1
dukun,-3,1
dukung,4,1
dukungan,4,1
duli,4,1
duli,-3,1
duluan,2,1
duluan,-2,1
dum,-3,1
dungkul,-4,1
dungu,-5,1
dunia,1,1
dunia,-2,1
dupleks,-3,1
dura,-3,1
durhaka,-5,1
duri,-4,1
durjana,-5,1
durkarsa,-5,1
dursila,-5,1
dwiganda,-3,1
dzuhur,1,1
eaa,1,1
eban,-4,1
ecer,-2,1
eco,5,1
edan,-3,1
edan,-5,1
edar,2,1
edaran,-3,1
eek,-5,1
efek,3,1
efektif,5,1
efisien,4,1
ego,-3,1
egois,-5,1
eja,3,1
ejakulasi,-3,1
ejek,-4,1
ejekan,-4,1
eka,3,1
ekang,-4,1
eklektis,-3,1
ekofraksia,-5,1
ekonomis,3,1
ekor,-3,1
eks,-3,1
eksemplar,3,1
ekshibisi,-3,1
eksklusif,4,1
ekspirasi,-3,1
eksplisit,3,1
eksplisit,-2,1
eksplorasi,4,1
ekspos,-4,1
ekspres,3,1
ekspres,-3,1
ekstasi,-3,1
ekstensif,3,1
ekstra,3,1
ekstrem,-4,1
ekstremis,3,1
el,-3,1
elak,-3,1
elegan,4,1
elegan,-1,1
elektromotif,3,1
elite,5,1
elu,3,1
elu,-2,1
elusan,-3,1
elusif,-2,1
embah,-3,1
embal,-4,1
embarau,-3,1
embat,-4,1
embek,-3,1
embel-embel,5,1
embus,-3,1
emergensi,-4,1
emg,-1,1
emir,4,1
emmm,-2,1
emong,3,1
emosi,3,1
emosi,-4,1
empal,-4,1
empang,-3,1
empap,-3,1
empas,-3,1
empedal,-5,1
emper,-3,1
empos,-3,1
empot-empotan,-5,1
empuk,3,1
empuk,-4,1
enak,5,1
enak,-4,1
enas,-5,1
encok,-5,1
endemi,-5,1
endus,3,1
endus,-3,1
endut-endut,3,1
enek,-4,1
eneng,5,1
energi,3,1
energik,5,1
energik,-1,1
engah,1,1
engah,-4,1
enggan,-5,1
engkau,-4,1
enjoy,3,1
entah,-3,1
entah-berentah,-3,1
entak,-3,1
enteng,4,1
enteng,-2,1
entitas,1,1
enyah,-4,1
epidemi,-5,1
epigon,-3,1
erang,1,1
erang,-4,1
erangan,-3,1
erik,-3,1
eror,-4,1
erot,-4,1
erotan,-4,1
erotis,-4,1
eroton,-4,1
error,-5,1
erti,2,1
erti,-2,1
esa,3,1
esai,2,1
esensial,-4,1
esok,1,1
esok,-2,1
estetik,4,1
estetis,4,1
estetis,-1,1
eviden,3,1
ex,-1,1
excited,-1,1
faal,4,1
fadihat,-5,1
fadil,3,1
faedah,4,1
faedah,-1,1
faedahnya,-1,1
fail,-5,1
fair,3,1
fak,-5,1
fakboi,-5,1
fakir,-5,1
fakta,-3,1
faktitius,3,1
faktor,-4,1
faktual,3,1
familiar,2,1
fanbase,3,1
fans,2,1
fantasi,3,1
fantasy,2,1
fap,-5,1
farak,-3,1
faring,-5,1
fasid,-5,1
fasilitas,2,1
fasilitas,-4,1
fatal,-5,1
fatamorgana,3,1
fatanah,3,1
fav,5,1
favorite,4,1
federasi,3,1
fertil,4,1
feses,-5,1
fiesta,3,1
figur,3,1
fiksi,2,1
fiksi,-2,1
filantropi,2,1
filantropi,-1,1
filial,2,1
filo,-3,1
filsafat,3,1
filsafat,-3,1
final,3,1
final,-2,1
fine,3,1
firasat,1,1
firasat,-4,1
fiskal,-3,1
fit,4,1
fitnah,-5,1
fitrah,3,1
fk,-4,1
flu,-3,1
fokus,3,1
fokus,-2,1
folder,-5,1
follback,1,1
fondasi,2,1
fondasi,-3,1
formal,2,1
formal,-3,1
formasi,3,1
forum,2,1
forum,-3,1
fosil,-4,1
foto,3,1
free,3,1
fresh,-2,1
friends,3,1
friksi,-5,1
frustasi,-3,1
fuck,-5,1
fulanah,1,1
fulanah,-3,1
fundamental,-4,1
fungsionaris,-3,1
fusi,4,1
gaada,-3,1
gaakan,-2,1
gabaik,-3,1
gabakal,-4,1
gabal,-5,1
gabas,-5,1
gabole,-2,1
gaboleh,-4,1
gabuk,-4,1
gabung,-5,1
gabungan,-5,1
gabut,-5,1
gabutuh,-3,1
gaco,-2,1
gacoan,-2,1
gadai,-3,1
gadang,-4,1
gado-gado,-4,1
gaenak,-3,1
gagah,5,1
gagah,-1,1
gagal,-4,1
gagap,-5,1
gagar,-3,1
gagu,-3,1
gaib,-5,1
gairah,3,1
gairah,-2,1
gajadi,-3,1
gajak,4,1
gaje,-3,1
gajih,-2,1
gakuat,-3,1
galaba,-5,1
galak panas,-3,2
galas,-4,1
gali ilmu,4,2
galian,-3,1
gamak,-4,1
gamam,-4,1
gamang,-3,1
gamat,-5,1
gamau,-4,1
gambar,2,1
gambar,-3,1
gambir,3,1
gamblang,3,1
gamblang,-5,1
game,2,1
gampang,4,1
gampang,-3,1
gamungkin,-3,1
ganar,-4,1
ganas,-5,1
ganda,-3,1
ganduh,3,1
gang,-4,1
gangerti,-3,1
ganggang,-3,1
ganggu,-4,1
ganggu jiwa,-4,2
gangguan jiwa,-4,2
gangguin,-3,1
gangsar,4,1
gangsar,-3,1
gani,4,1
ganjal,-3,1
ganjar,5,1
ganjar,-3,1
ganjar balas,1,2
ganjaran,5,1
ganjaran,-5,1
ganjaran balasan,1,2
ganjil,4,1
ganjil,-4,1
ganteng,4,1
ganteng,-4,1
ganti,3,1
ganti,-3,1
gantung,-3,1
ganyang,1,1
ganyang,-4,1
gapah,5,1
gapaham,-4,1
gapai,3,1
gapaian,3,1
gapernah,-3,1
gapil mulut,-4,2
gapuk,-3,1
gapura,-4,1
gara,-4,1
gara-gara,-5,1
garang,-5,1
garda,3,1
gari,3,1
garib,-4,1
garing,5,1
garis,-3,1
garis bawah,-3,2
garis besar,2,2
garit,-3,1
garu,-4,1
garuk,-3,1
garwa ampil,-5,2
gas,-4,1
gasak,-5,1
gastroenterologi,-5,1
gasuka,-4,1
gatal,-3,1
gatau,-1,1
gatel,-3,1
gatra,3,1
gaul,-3,1
gaung,-3,1
gausa,-3,1
gausah,-4,1
gawat,-5,1
gayung,-4,1
gblk,-4,1
gbs,-2,1
gebang,-4,1
gebetan,-2,1
geblek,-5,1
gebok,-3,1
gebos,-3,1
gebu,-3,1
gebung,-5,1
gebyar,4,1
gedang,-4,1
gede,2,1
gede,-2,1
gedembai,-4,1
gedembal,2,1
gedor,-4,1
gegabah,-5,1
gegadan,-5,1
gegap,2,1
gegap,-5,1
gegar,-3,1
gegara,-3,1
geger,4,1
geger,-3,1
gegetun,-4,1
gejolak,1,1
gejolak,-3,1
gela,-3,1
geladah,-3,1
geladir,-5,1
gelagap,-2,1
gelagat,1,1
gelagat,-4,1
gelak,2,1
gelanggang,2,1
gelanggang,-3,1
gelantung,-4,1
gelap,-4,1
gelar,2,1
gelatak,-4,1
gelebah,2,1
gelebah,-2,1
gelecik,-4,1
geledah,-3,1
geledek,-2,1
gelegak,1,1
gelegak,-3,1
geleng,-3,1
geleser,1,1
gelesot,1,1
gelesot,-3,1
geletar,-4,1
geletik,-3,1
geli,-2,1
geliat,-3,1
gelibat,-2,1
gelicik,-3,1
gelincir,1,1
gelincir,-3,1
gelingsir,-3,1
gelinjang,-3,1
gelis,-3,1
gelisah,-5,1
gelo,-2,1
gelogok,-3,1
gelongsor,-4,1
gelopak,-4,1
gelora,2,1
gelora,-2,1
geluduk,-3,1
geluncur,-3,1
gelung,-3,1
gema,1,1
gemal,-5,1
gemar,5,1
gemar,-1,1
gemas,4,1
gemas,-5,1
gemaung,-3,1
gembel,-5,1
gembil,-4,1
gembira,5,1
gembira,-3,1
gemblung,-3,1
gembol,-4,1
gembrot,-3,1
gembul,-3,1
gembung,-3,1
gembur,5,1
gemeletek,-4,1
gemes,-2,1
gemetar,-3,1
gemi,3,1
geming,2,1
geming,-4,1
gemirang,4,1
gempa,4,1
gempa bumi,4,2
gempal,-2,1
gempar,4,1
gempar,-2,1
gempil,-4,1
gempita,4,1
gempita,-5,1
gempur,-4,1
gempuran,-3,1
gemuk,-3,1
gemuruh,-3,1
genah,2,1
genah,-5,1
genang,-2,1
genangan,-2,1
genap,-3,1
gencat,-5,1
gencet,-5,1
gendak,-5,1
gendeng,-2,1
gending,1,1
gendut,-3,1
generasi,-3,1
gengsi,4,1
genial,4,1
genit,5,1
genit,-3,1
genitalia,-3,1
genius,3,1
genjang,-4,1
gentar,1,1
gentar,-4,1
gentas,3,1
gentas,-2,1
gepok,2,1
gepok,-5,1
gerah,-5,1
gerak gerik,1,2
gerak hati,4,2
gerak laku,1,2
gerakan,4,1
gerak-gerik,4,1
gerecok,-4,1
geregetan,-4,1
gerenyot,-4,1
gerepes,-4,1
geret,-3,1
geretan,-4,1
gergaji,-1,1
gerha,3,1
gerhana,-2,1
geriap,-4,1
gerimis,1,1
gering,-5,1
gering hulu,-4,2
germo,-5,1
gerobak,-4,1
gerombol,-4,1
gerombolan,-4,1
gerombong,-4,1
gersang,-3,1
gertak,-5,1
geruh,-4,1
gesek,1,1
gesek,-3,1
geser,1,1
geser,-5,1
getap,-4,1
getar,1,1
getar,-3,1
getaran,1,1
getaran,-3,1
getas,5,1
getir,-4,1
getol,2,1
getol,-3,1
getun,-4,1
giang,-3,1
gibah,-3,1
gidik,-4,1
gigil,3,1
