word,weight,number_of_words
asah,-3,1
asah asih asuh,2,3
asak,-3,1
asal usul,-4,2
asal-asalan,-5,1
asam,-2,1
asan tak asan,-5,3
asasi,3,1
asasi,-3,1
asfal,-5,1
asid,-5,1
asih,3,1
asih,-1,1
asik,4,1
asket,2,1
asketisme,2,1
asli,2,1
asmara,2,1
asmara,-4,1
asoe,-5,1
asoi,3,1
asor,-5,1
asosiasi,3,1
asosiasi,-4,1
aspek,-3,1
aspiran,-5,1
asrama,3,1
asri,4,1
asri,-3,1
assalamualaikum,3,1
astaga,3,1
astaga,-4,1
astagfirullah,3,1
astagfirullah,-4,1
astagfirulloh,-4,1
astaghfirullah,-3,1
asu,-5,1
asuh,3,1
asuh,-2,1
asumsi,-3,1
asusila,-5,1
aswad,-4,1
atas,-4,1
atasan,3,1
atensi,2,1
ati,-1,1
atom,3,1
atraktif,4,1
atraktif,-2,1
atresia,-3,1
atribut,-3,1
atuh,-1,1
atur,4,1
atur,-4,1
atut,-2,1
aur,-3,1
aurat,-2,1
aus,-5,1
auta,-4,1
autentik,3,1
awa-,-3,1
awal,2,1
awal,-2,1
awan kelabu,-3,2
awas,4,1
awas,-3,1
awat,5,1
awet,4,1
awi,-3,1
awur,-4,1
awut,-4,1
awut-awutan,-5,1
aya,3,1
ayahanda,1,1
ayal,-3,1
ayat,-4,1
ayo,4,1
ayun,1,1
ayun,-3,1
ayunan,3,1
ayunan,-3,1
azab,-5,1
azamat,4,1
azimat,1,1
azimat,-4,1
aziz,2,1
bab,-4,1
babak,-4,1
babar,-1,1
babaran,3,1
babe,3,1
babi,-4,1
babi,-5,1
babil,-4,1
bablas,-5,1
babu,-5,1
baby,2,1
baca,3,1
baca,-1,1
bacar mulut,-4,2
bacok,-4,1
bacot,3,1
bacot,-4,1
bad,-4,1
badai,-4,1
badan,-3,1
badmood,-4,1
badung,-4,1
bagaimana pun,-2,2
bagak,5,1
bagal,-3,1
bagas,5,1
bagi,2,1
bagi,-4,1
bagian,-4,1
baginda,2,1
baginda,-3,1
bagus,2,1
bagus,-4,1
bagusan,2,1
bah,-3,1
bahadur,5,1
bahaduri,4,1
bahagia,4,1
bahagia,-1,1
bahala,-3,1
bahan,-3,1
bahas,2,1
bahasa,-4,1
bahasan,1,1
bahaya,-5,1
bahlul,-5,1
bahtera,-3,1
baiat,-3,1
baik,3,1
baik,-1,1
baik-baik,3,1
baik-baik,-1,1
baiklah,2,1
baiknya,1,1
bain,3,1
bain,-2,1
bait,-3,1
bajak,-4,1
bajik,4,1
bajing,1,1
bajing,-5,1
bajingan,-5,1
baju,2,1
bakar,1,1
bakar,-3,1
bakat,4,1
bakat,-1,1
bakh,4,1
bakir,4,1
baksis,2,1
baktau,-5,1
bakti,4,1
baku,1,1
baku,-3,1
bala,-5,1
bala bencana,-5,2
balai,-3,1
balairung,-3,1
balas,1,1
balas,-3,1
balasan,3,1
balela,-4,1
bales,-3,1
balesnya,-2,1
balik,-3,1
balik adab,-5,2
balik akal,-4,2
balik gagang,-5,2
balkon,-3,1
balung,-4,1
balur,-4,1
bambu,-3,1
bambung,-3,1
banal,-3,1
banat,-4,1
bancang,-5,1
banci,-5,1
banci,-5,1
bandang,-4,1
bandar,-4,1
bandel,-5,1
banding,3,1
banding,-3,1
bandit,-5,1
bando,-4,1
bangan,2,1
bangan,-3,1
bangang,-3,1
bangbung,-4,1
banget,1,1
bangett,-2,1
bangga,3,1
bangkai,-4,1
bangkang,-4,1
bangkit,2,1
bangkit,-4,1
bangkit selera,3,2
bangkot,-4,1
bangkrut,-5,1
bangle,-4,1
bangsal,-3,1
bangsat,-5,1
bangsat,-5,1
bangsawan,2,1
bangsawan,-3,1
banjir,4,1
banjir,-4,1
bantah,-3,1
bantah-bantah,5,1
bantai,-5,1
bantalan,3,1
bantar,-4,1
banteng,-3,1
bantet,-3,1
banting,1,1
banting,-3,1
bantu,3,1
bantu,-4,1
bantuin,3,1
banyak,3,1
banyak,-3,1
banyak akal,3,2
banyak bicara,-3,2
banyak cakap,-4,2
banyak cincong,-4,2
banyak mulut,-4,2
banyak omong,-4,2
banyaknya,3,1
banyol,-3,1
banyolan,3,1
bapa,3,1
bapanda,3,1
bapang,3,1
baper,1,1
baper,-4,1
baperan,-4,1
bapet,-4,1
bara,2,1
bara,-3,1
barbar,-5,1
bareng,3,1
bareng,-3,1
baret,-3,1
baring,2,1
barkas,-5,1
barua,-5,1
barut,-3,1
barzakh,-4,1
basi,-5,1
baskom,-4,1
basmi,-5,1
bastar,-2,1
batal,-5,1
batalion,-5,1
batang,-4,1
batas,-3,1
batas waktu,-3,2
batasan,3,1
